child_table,foreign_key,parent_table,parent_key,parent_per_child,children_per_parent,delete_behavior
AcademicImportJobs,OperationId,ApiOperations,Id,1,0..1,Cascade
AgentRuntimeSignals,RuntimeId,TeamLabRuntimes,Id,1,0..N,Cascade
AgentRuntimeSignals,WorkerNodeId,WorkerNodes,Id,1,0..N,Restrict
ApiOperations,ApiTokenId,ApiTokens,Id,0..1,0..N,Restrict
ApiOperations,ActorUserId,AspNetUsers,Id,0..1,0..N,SetNull
ApiOperations,DeploymentQueueTicketId,DeploymentQueueTickets,Id,0..1,0..N,SetNull
ApiTokenResourceGrants,TokenId,ApiTokens,Id,1,0..N,Cascade
ApiTokenScopeGrants,TokenId,ApiTokens,Id,1,0..N,Cascade
ApiTokens,CreatorId,AspNetUsers,Id,1,0..N,Restrict
AspNetRoleClaims,RoleId,AspNetRoles,Id,1,0..N,Cascade
AspNetUserClaims,UserId,AspNetUsers,Id,1,0..N,Cascade
AspNetUserLogins,UserId,AspNetUsers,Id,1,0..N,Cascade
AspNetUserRoles,RoleId,AspNetRoles,Id,1,0..N,Cascade
AspNetUserRoles,UserId,AspNetUsers,Id,1,0..N,Cascade
AspNetUserTokens,UserId,AspNetUsers,Id,1,0..N,Cascade
Attachments,LocalFileId,Files,Id,0..1,0..N,SetNull
AwdpCheckerTasks,RoundId,AwdpRounds,Id,1,0..N,Cascade
AwdpCheckerTasks,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpCheckerTasks,TeamId,Teams,Id,1,0..N,Cascade
AwdpFlags,SubmittedByUserId,AspNetUsers,Id,0..1,0..N,SetNull
AwdpFlags,RoundId,AwdpRounds,Id,1,0..N,Cascade
AwdpFlags,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpFlags,SubmittedByTeamId,Teams,Id,0..1,0..N,SetNull
AwdpFlags,TeamId,Teams,Id,1,0..N,Cascade
AwdpPatchSubmissions,RoundId,AwdpRounds,Id,1,0..N,Cascade
AwdpPatchSubmissions,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpPatchSubmissions,TeamId,Teams,Id,1,0..N,Cascade
AwdpRecoveryRecords,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpRecoveryRecords,TeamId,Teams,Id,1,0..N,Cascade
AwdpResetRecords,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpResetRecords,TeamId,Teams,Id,1,0..N,Cascade
AwdpRounds,GameId,Games,Id,1,0..N,Cascade
AwdpServiceInstances,ServiceId,AwdpServices,Id,1,0..N,Cascade
AwdpServiceInstances,ContainerId,Containers,Id,0..1,0..N,SetNull
AwdpServiceInstances,TeamId,Teams,Id,1,0..N,Cascade
AwdpServices,GameId,Games,Id,1,0..N,Cascade
